,x,y
0,51.5,51.5
1,50.5,50.5
2,49.5,49.5
3,50.5,50.5
4,49.5,49.5
5,49.5,49.5
6,51.5,51.5
7,52.5,52.5
8,51.5,51.5
9,49.5,49.5
10,51.5,51.5
11,50.5,50.5
12,48.5,48.5
13,51.5,51.5
14,51.5,51.5
15,51.5,51.5
16,50.5,50.5
17,50.5,50.5
18,50.5,50.5
19,50.5,50.5
20,50.5,50.5
21,48.5,48.5
22,52.5,52.5
23,52.5,52.5
24,50.5,50.5
25,51.5,51.5
26,51.5,51.5
27,52.5,52.5
28,50.5,50.5
29,50.5,50.5
30,51.5,51.5
31,50.5,50.5
32,51.5,51.5
33,52.5,52.5
34,52.5,52.5
35,50.5,50.5
36,52.5,52.5
37,50.5,50.5
38,50.5,50.5
39,49.5,49.5
40,52.5,52.5
41,52.5,52.5
42,51.5,51.5
43,48.5,48.5
44,50.5,50.5
45,51.5,51.5
46,52.5,52.5
47,51.5,51.5
48,50.5,50.5
49,51.5,51.5
50,51.5,51.5
51,51.5,51.5
52,50.5,50.5
53,48.5,48.5
54,52.5,52.5
55,52.5,52.5
56,52.5,52.5
57,52.5,52.5
58,51.5,51.5
59,52.5,52.5
60,51.5,51.5
61,51.5,51.5
62,51.5,51.5
63,52.5,52.5
64,51.5,51.5
65,51.5,51.5
66,49.5,49.5
67,51.5,51.5
68,52.5,52.5
69,50.5,50.5
70,52.5,52.5
71,51.5,51.5
72,51.5,51.5
73,51.5,51.5
74,50.5,50.5
75,50.5,50.5
76,51.5,51.5
77,51.5,51.5
78,51.5,51.5
79,51.5,51.5
80,51.5,51.5
81,52.5,52.5
82,51.5,51.5
83,52.5,52.5
84,50.5,50.5
85,51.5,51.5
86,51.5,51.5
87,52.5,52.5
88,49.5,49.5
89,49.5,49.5
90,50.5,50.5
91,49.5,49.5
92,50.5,50.5
93,48.5,48.5
94,52.5,52.5
95,49.5,49.5
96,49.5,49.5
97,52.5,52.5
98,49.5,49.5
99,51.5,51.5
