,x,y
0,131.5,131.5
1,172.5,172.5
2,88.5,88.5
3,156.5,156.5
4,175.5,175.5
5,127.5,127.5
6,119.5,119.5
7,130.5,130.5
8,105.5,105.5
9,148.5,148.5
10,145.5,145.5
11,78.5,78.5
12,150.5,150.5
13,107.5,107.5
14,70.5,70.5
15,171.5,171.5
16,174.5,174.5
17,93.5,93.5
18,119.5,119.5
19,127.5,127.5
20,77.5,77.5
21,164.5,164.5
22,95.5,95.5
23,142.5,142.5
24,115.5,115.5
25,131.5,131.5
26,165.5,165.5
27,162.5,162.5
28,112.5,112.5
29,136.5,136.5
30,84.5,84.5
31,91.5,91.5
32,155.5,155.5
33,136.5,136.5
34,135.5,135.5
35,174.5,174.5
36,143.5,143.5
37,172.5,172.5
38,149.5,149.5
39,124.5,124.5
40,183.5,183.5
41,89.5,89.5
42,147.5,147.5
43,84.5,84.5
44,76.5,76.5
45,113.5,113.5
46,126.5,126.5
47,132.5,132.5
48,181.5,181.5
49,99.5,99.5
50,104.5,104.5
51,153.5,153.5
52,123.5,123.5
53,81.5,81.5
54,105.5,105.5
55,137.5,137.5
56,102.5,102.5
57,130.5,130.5
58,99.5,99.5
59,169.5,169.5
